Tree	P0	Like	Normalized
49	-104.386839	4.62777077340759E-46	1.17172724629561E-62
83	-104.461086	4.29661832704587E-46	1.08788118669621E-62
47	-104.627207	3.63899402875553E-46	9.21374169416828E-63
34	-104.854509	2.89911430340667E-46	7.34040510162436E-63
58	-105.28332	1.88814388996812E-46	4.78068112948726E-63
72	-106.167466	7.79929520063622E-47	1.97474056861268E-63
20	-106.259968	7.11020709531054E-47	1.80026708069751E-63
52	-106.385048	6.27423377956613E-47	1.58860302921456E-63
70	-106.589645	5.11334797512424E-47	1.29467284262912E-63
91	-106.655058	4.78957351402178E-47	1.21269485013467E-63
17	-106.682147	4.66157032375879E-47	1.18028511486737E-63
42	-106.77748	4.23769449729604E-47	1.07296198257947E-63
30	-111.215344	5.00944713498064E-49	1.26836569578234E-65
16	-111.798762	2.79521089098857E-49	7.07732712029268E-66
61	-112.115656	2.03605386924127E-49	5.15518142606473E-66
73	-112.710833	1.12281234099016E-49	2.84290185671056E-66
197	-114.765137	1.43924353077074E-50	3.64408900447119E-67
181	-115.35795	7.95570867017584E-51	2.01434363732999E-67
196	-115.379131	7.78897087510254E-51	1.97212650362983E-67
111	-115.561923	6.48775622371023E-51	1.64266579026075E-67
178	-115.780129	5.21589525371518E-51	1.32063727480215E-67
183	-115.80131	5.10657917516168E-51	1.29295901804074E-67
177	-116.311534	3.06579140334473E-51	7.76242276173233E-68
102	-116.326576	3.02002087222696E-51	7.64653418164907E-68
106	-116.357727	2.9273943958746E-51	7.41200880996453E-68
103	-116.566944	2.37475848715359E-51	6.01276372364637E-68
110	-116.598095	2.30192272867398E-51	5.82834740984453E-68
121	-117.476652	9.56176980227252E-52	2.42098987800114E-68
86	-117.87931	6.39243228784819E-52	1.61853027051645E-68
31	-118.02159	5.54465741213772E-52	1.40387812605351E-68
88	-118.061121	5.32974735073043E-52	1.34946402760659E-68
38	-118.203402	4.62290287495374E-52	1.17049471998222E-68
89	-118.254595	4.39219822194699E-52	1.11208151392445E-68
87	-118.301489	4.19098519216467E-52	1.06113543192306E-68
46	-118.428027	3.69284748158461E-52	9.35009580736145E-69
36	-118.44377	3.63516621310228E-52	9.20404986604125E-69
90	-118.494963	3.45375427724714E-52	8.74472437553478E-69
45	-118.668396	2.90382500653832E-52	7.35233235446125E-69
82	-118.873267	2.36589843011768E-52	5.99033052472398E-69
35	-119.036728	2.00912004105006E-52	5.08698638814273E-69
56	-136.693452	4.31308566555766E-60	1.09205063029077E-76
51	-137.370915	2.19063307992037E-60	5.54656786617183E-77
15	-137.988815	1.18091620207999E-60	2.99001778031064E-77
69	-138.036668	1.1257366030279E-60	2.8503059345543E-77
71	-138.663453	6.01488766015807E-61	1.52293795434144E-77
19	-138.736096	5.59344106345768E-61	1.41622989026661E-77
24	-142.201212	1.74903422755546E-62	4.42846277284666E-79
62	-143.101523	7.10883131735696E-63	1.79991874094777E-79
12	-143.208893	6.3851045178168E-63	1.61667491764338E-79
77	-144.120964	2.56484194957512E-63	6.49404506383149E-80
176	-147.417427	9.49346858332287E-65	2.40369636820624E-81
104	-148.252342	4.11932388623932E-65	1.04299116575924E-81
85	-150.007127	7.12414085840003E-66	1.80379503630611E-82
37	-150.199172	5.87933780638552E-66	1.48861744352242E-82
75	-189.228551	6.59302135063843E-83	1.66931836735366E-99
18	-189.413648	5.47895680345769E-83	1.38724307711571E-99
63	-190.364412	2.11731911173813E-83	5.36094075052728E-100
28	-190.5676	1.72799662716144E-83	4.37519667392923E-100
74	-197.204073	2.26651859917741E-86	5.73870601403279E-103
22	-197.547718	1.60737111639294E-86	4.06977921812533E-103
67	-198.108838	9.171172039533E-87	2.32209257661061E-103
27	-198.464242	6.4279848466937E-87	1.62753199162895E-103
9	-201.56606	2.89049620169944E-88	7.31858452088226E-105
79	-210.544399	3.64526678728228E-92	9.22962398919779E-109
11	-210.636901	3.32319794397833E-92	8.41416259890884E-109
78	-210.966578	2.38989768511609E-92	6.05109537749935E-109
13	-211.05908	2.17874398142956E-92	5.51646529342639E-109
68	-211.403673	1.54365897401087E-92	3.90846342094298E-109
26	-211.507934	1.39082146619097E-92	3.52148688096924E-109
76	-211.630254	1.23068946802957E-92	3.1160410746911E-109
64	-211.644041	1.21383838221621E-92	3.07337501073942E-109
21	-211.702897	1.14445844972948E-92	2.89770866678829E-109
25	-211.748302	1.09365637546635E-92	2.76908048380977E-109
65	-212.731981	4.08954063042048E-93	1.03545020186214E-109
29	-212.816384	3.7585364832257E-93	9.51641690832674E-110
4	-213.330598	2.2474936195422E-93	5.69053576513695E-110
5	-213.570966	1.76729061607305E-93	4.47468698941317E-110
7	-213.99523	1.15625189463484E-93	2.92756904968083E-110
10	-233.484817	3.97038268949702E-102	1.00528003725615E-118
80	-242.829423	3.47153499344369E-106	8.78974421477543E-123
14	-242.943107	3.09848368318338E-106	7.84519789668627E-123
66	-243.552847	1.68400158556875E-106	4.26380354004219E-123
23	-243.68826	1.47073144308543E-106	3.72381474412991E-123
3	-245.286298	2.9751871671992E-107	7.53301759600641E-124
8	-306.451618	8.12368981116184E-134	2.05687557968291E-150
2	-307.506375	2.82929470911865E-134	7.16362555709143E-151
6	-337.861749	1.85569570731916E-147	4.69852403579315E-164
1	-338.492242	9.87841193107039E-148	2.50116200142815E-164
		3.94952902907924E+016	
